wl,n,k
0.0664217,0.491664143,0.15837941
0.0665748,0.488256041,0.1613794
0.0667283,0.48530185,0.1643156
0.0668821,0.482645934,0.16722515
0.0670363,0.479644336,0.17032252
0.0671908,0.477064064,0.17333024
0.0673457,0.474252622,0.17647225
0.0675009,0.471773532,0.17953152
0.0676566,0.469127462,0.18268506
0.0678125,0.466518498,0.18584714
0.0679688,0.464209722,0.18890091
0.0681255,0.461925179,0.19194471
0.0682826,0.460005434,0.19482542
0.06844,0.457571556,0.19790611
0.0685978,0.455523141,0.20079648
0.0687559,0.453452221,0.20366394
0.0689144,0.450940896,0.20669523
0.0690732,0.449052741,0.20940114
0.0692325,0.446840317,0.21221251
0.0693921,0.44494228,0.21482656
0.069552,0.44298817,0.21741609
0.0697124,0.440483604,0.22022883
0.0698731,0.438573227,0.22269752
0.0700342,0.436205764,0.22535117
0.0701956,0.434013025,0.22787146
0.0703574,0.431717776,0.23040424
0.0705196,0.429376585,0.23292436
0.0706822,0.427285424,0.23527326
0.0708451,0.424775826,0.23782216
0.0710084,0.422321921,0.2403165
0.0711721,0.419920782,0.24276051
0.0713362,0.417191413,0.24538082
0.0715006,0.414626416,0.24789676
0.0716655,0.412083214,0.25039435
0.0718307,0.409353344,0.25300586
0.0719963,0.406603553,0.25563635
0.0721622,0.403737688,0.25835192
0.0723286,0.401112006,0.26092838
0.0724953,0.398060634,0.26380222
0.0726624,0.395321583,0.26649426
0.0728299,0.392293637,0.26940935
0.0729978,0.389197757,0.27240702
0.0731661,0.386408741,0.27522595
0.0733348,0.383336093,0.27828559
0.0735038,0.380363451,0.28131649
0.0736733,0.37734042,0.28443058
0.0738431,0.374148579,0.28772369
0.0740133,0.37110274,0.29095928
0.0741839,0.368000001,0.29429547
0.0743549,0.364779551,0.29778714
0.0745264,0.361862324,0.30109224
0.0746982,0.35845134,0.30487515
0.0748704,0.355426737,0.30840077
0.0750429,0.352385815,0.3120079
0.0752159,0.349239016,0.31578093
0.0753893,0.345977725,0.31973664
0.0755631,0.343003238,0.32350609
0.0757373,0.339842248,0.32753122
0.0759119,0.336761891,0.33156357
0.0760869,0.333780051,0.33558334
0.0762623,0.330595399,0.33989709
0.0764381,0.327729974,0.34397368
0.0766143,0.324732999,0.34827874
0.0767909,0.321676399,0.35274626
0.0769679,0.31880972,0.35710501
0.0771454,0.315976017,0.36152511
0.0773232,0.313034682,0.36617279
0.0775015,0.310248207,0.37074716
0.0776801,0.307396943,0.37550929
